number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
158,0.8217993079584776,2026-07-07 17:44:00.188180,2026-07-07 17:44:01.351060,0 days 00:00:01.162880,logistic,0.0001,"(10,)",1000,COMPLETE
159,0.8217993079584776,2026-07-07 17:44:01.351060,2026-07-07 17:44:01.861909,0 days 00:00:00.510849,relu,0.0005,"(10,)",1000,COMPLETE
160,0.7993079584775087,2026-07-07 17:44:01.861909,2026-07-07 17:44:02.310648,0 days 00:00:00.448739,logistic,0.0001,"(5,)",1000,COMPLETE
161,0.8217993079584776,2026-07-07 17:44:02.310648,2026-07-07 17:44:02.835917,0 days 00:00:00.525269,relu,0.0005,"(10,)",1000,COMPLETE
162,0.8217993079584776,2026-07-07 17:44:02.835917,2026-07-07 17:44:03.362297,0 days 00:00:00.526380,relu,0.0005,"(10,)",1000,COMPLETE
163,0.8217993079584776,2026-07-07 17:44:03.362297,2026-07-07 17:44:03.871194,0 days 00:00:00.508897,relu,0.0005,"(10,)",1000,COMPLETE
164,0.8217993079584776,2026-07-07 17:44:03.871194,2026-07-07 17:44:04.430687,0 days 00:00:00.559493,relu,0.0005,"(10,)",1000,COMPLETE
165,0.8217993079584776,2026-07-07 17:44:04.430687,2026-07-07 17:44:04.977704,0 days 00:00:00.547017,relu,0.0005,"(10,)",1000,COMPLETE
166,0.8217993079584776,2026-07-07 17:44:04.977704,2026-07-07 17:44:06.170805,0 days 00:00:01.193101,logistic,0.0005,"(10,)",1000,COMPLETE
167,0.8217993079584776,2026-07-07 17:44:06.170805,2026-07-07 17:44:06.804538,0 days 00:00:00.633733,relu,0.0001,"(10,)",1000,COMPLETE
168,0.8217993079584776,2026-07-07 17:44:06.804538,2026-07-07 17:44:08.042710,0 days 00:00:01.238172,logistic,0.0005,"(10,)",1000,COMPLETE
